datetime,shfe_close,binance_close,binance_cny,spread,spread_rate
2026-01-07 10:00:00,19601.0,79.66,17825.44086678348,1775.5591332165204,9.960814694491829
2026-01-07 10:15:00,19681.0,79.11,17702.367900718567,1978.6320992814328,11.177217140544892
2026-01-07 10:45:00,19741.0,79.48,17785.162441525874,1955.837558474126,10.99701824430638
2026-01-07 11:00:00,19787.0,79.65,17823.20317649139,1963.796823508608,11.018203653195371
2026-01-07 11:15:00,19687.0,79.42,17771.736299773336,1915.263700226664,10.77702070253592
2026-01-07 11:30:00,19701.0,79.35,17756.07246772871,1944.9275322712892,10.953590867609682
2026-01-07 13:45:00,19220.0,77.67,17380.140498657707,1839.8595013422928,10.585987503866196
2026-01-07 14:00:00,19319.0,77.13,17259.305222884883,2059.694777115117,11.933822077519528
2026-01-07 14:15:00,19335.0,77.17,17268.25598405324,2066.7440159467587,11.968458296282728
2026-01-07 14:30:00,19374.0,77.65,17375.66511807353,1998.3348819264684,11.500767702111578
2026-01-07 14:45:00,19179.0,77.93,17438.320446252033,1740.6795537479666,9.981922049850194
2026-01-07 15:00:00,19290.0,77.04,17239.16601025608,2050.833989743918,11.896364293515228
2026-01-07 21:15:00,18840.0,78.38,17539.016509396046,1300.983490603954,7.417653606215537
2026-01-07 21:30:00,18950.0,78.17,17492.025013262177,1457.9749867378232,8.335084049058983
2026-01-07 21:45:00,18864.0,78.24,17507.6888453068,1356.3111546932014,7.746945737254069
2026-01-07 22:00:00,18936.0,78.06,17467.41042004919,1468.5895799508107,8.407597603965128
2026-01-07 22:15:00,18770.0,78.17,17492.025013262177,1277.9749867378232,7.306043672867394
2026-01-07 22:30:00,18804.0,78.85,17644.187953124245,1159.8120468757552,6.573337633656232
2026-01-07 22:45:00,18836.0,78.35,17532.30343851978,1303.6965614802211,7.435968502666356
2026-01-07 23:00:00,18945.0,78.4,17543.49188998023,1401.5081100197713,7.98876368974313
2026-01-07 23:15:00,18753.0,78.7,17610.62259874291,1142.3774012570902,6.486865497524409
