datetime,open,high,low,close,volume,hold
2025-08-29 00:00:00,786.7,786.88,785.36,786.3,2721,147178
2025-08-29 01:00:00,786.3,787.48,786.14,787.04,741,147479
2025-08-29 02:00:00,787.04,787.54,786.96,787.2,1067,147414
2025-08-29 09:30:00,787.2,787.34,786.26,786.8,2401,148128
2025-08-29 10:45:00,786.76,787.26,786.32,787.2,4524,149463
2025-08-29 13:45:00,787.2,787.36,786.62,786.92,4102,150901
2025-08-29 14:45:00,786.92,787.68,786.88,787.24,5768,152266
2025-08-29 15:00:00,787.26,787.46,787.1,787.42,354,152526
2025-08-29 22:00:00,788.5,790.88,788.02,790.74,10809,155010
2025-08-29 23:00:00,790.74,792.82,790.74,792.7,6245,156707
2025-08-30 01:00:00,793.74,794.42,793.0,794.28,3650,158019
2025-08-30 02:00:00,794.28,794.5,793.04,793.46,149,158031
2025-08-30 09:30:00,793.46,793.64,792.82,793.26,1025,157946
2025-09-01 00:00:00,792.68,794.28,792.5,793.9,8247,157699
2025-09-01 09:30:00,793.28,794.3,792.86,793.42,6419,158409
2025-09-01 10:45:00,793.38,802.7,793.24,802.36,26413,165704
2025-09-01 13:45:00,802.4,803.86,799.6,801.38,3210,176898
2025-09-01 14:45:00,801.4,804.06,801.4,803.82,11009,178282
2025-09-01 15:00:00,803.86,803.9,802.16,802.2,17,178201
2025-09-01 22:00:00,801.34,803.8,801.04,802.98,11450,179238
2025-09-01 23:00:00,802.98,804.18,802.52,802.82,1614,179141
2025-09-02 00:00:00,802.82,803.48,802.74,802.88,2080,179337
2025-09-02 01:00:00,802.88,803.4,802.5,803.24,1406,179249
2025-09-02 02:00:00,803.24,803.54,803.12,803.5,369,179203
2025-09-02 09:30:00,803.52,808.92,803.16,808.76,3197,181913
2025-09-02 10:45:00,808.74,811.88,807.1,809.34,25205,184164
2025-09-02 13:45:00,809.36,809.38,807.42,808.14,5843,184775
2025-09-02 14:45:00,808.14,808.34,805.6,806.12,1,185109
2025-09-02 15:00:00,806.08,806.22,805.54,806.18,1215,185302
2025-09-02 22:00:00,806.14,807.8,804.4,806.8,17340,186084
2025-09-02 23:00:00,806.82,811.34,806.7,810.8,11737,187125
2025-09-03 00:00:00,810.8,812.46,810.4,812.38,870,187796
2025-09-03 01:00:00,812.38,814.1,812.04,813.9,8021,188255
2025-09-03 02:00:00,813.9,814.46,812.8,814.44,1273,188224
2025-09-03 09:30:00,814.44,818.28,814.1,816.72,15641,189477
2025-09-03 10:45:00,816.66,818.56,816.42,816.96,15878,191922
2025-09-03 13:45:00,816.94,817.4,815.1,816.0,3788,192609
2025-09-03 14:45:00,816.0,816.82,814.6,816.8,8081,193126
2025-09-03 15:00:00,816.8,817.0,816.64,816.66,467,193359
2025-09-03 22:00:00,819.54,822.08,819.54,820.32,21492,194794
2025-09-03 23:00:00,820.36,822.56,819.58,820.56,7322,194852
2025-09-04 00:00:00,820.56,822.28,820.28,821.74,60,194701
2025-09-04 01:00:00,821.74,823.72,821.48,823.7,4359,195037
2025-09-04 02:00:00,823.7,824.66,823.02,824.34,830,194841
2025-09-04 09:30:00,824.34,824.98,819.14,819.3,9486,194879
2025-09-04 10:45:00,819.32,819.54,814.5,814.52,15007,195686
2025-09-04 13:45:00,814.52,814.52,808.92,813.38,4004,195525
2025-09-04 14:45:00,813.38,815.74,811.24,815.58,11810,195220
2025-09-04 15:00:00,815.54,815.72,814.56,814.92,342,194635
2025-09-04 22:00:00,817.0,819.68,815.28,816.28,19228,195283
2025-09-04 23:00:00,815.8,816.28,813.18,815.78,5150,195169
2025-09-05 00:00:00,815.78,817.16,815.06,817.1,216,195420
2025-09-05 01:00:00,817.1,817.56,816.08,816.84,3318,195148
2025-09-05 02:00:00,816.84,817.24,814.82,814.98,620,195038
2025-09-05 09:30:00,815.02,817.96,814.72,817.82,8286,196640
2025-09-05 10:45:00,817.82,818.2,815.32,816.28,5660,196791
2025-09-05 13:45:00,816.24,818.58,815.96,817.86,611,197218
2025-09-05 14:45:00,817.9,818.54,816.56,817.26,8903,197038
2025-09-05 15:00:00,817.26,817.6,817.08,817.52,34,196626
2025-09-05 22:00:00,824.02,826.1,821.32,825.98,32470,199762
2025-09-05 23:00:00,825.98,826.56,820.22,823.7,17063,199695
2025-09-06 01:00:00,823.78,825.32,823.6,824.76,2,200149
2025-09-06 02:00:00,824.76,825.5,823.7,825.28,1459,200285
2025-09-06 09:30:00,825.28,825.4,824.42,824.86,989,200112
2025-09-08 00:00:00,823.7,825.32,821.68,825.06,8809,200098
2025-09-08 09:30:00,824.2,824.2,820.1,821.04,553,200579
2025-09-08 10:45:00,821.04,823.74,821.02,822.98,1750,201622
2025-09-08 13:45:00,822.98,824.16,821.74,822.66,192,202354
2025-09-08 14:45:00,822.66,825.1,822.66,825.1,1094,203547
2025-09-08 15:00:00,825.12,825.28,824.32,825.18,362,203544
2025-09-08 22:00:00,829.8,832.78,829.8,832.06,28804,207998
2025-09-08 23:00:00,832.06,833.46,831.18,833.38,7714,209521
2025-09-09 00:00:00,833.38,834.58,832.28,833.4,697,209897
2025-09-09 01:00:00,833.4,833.72,832.72,833.42,3619,209890
2025-09-09 02:00:00,833.4,833.56,831.96,831.98,1300,209619
2025-09-09 09:30:00,832.02,834.9,831.72,834.6,11157,210223
2025-09-09 10:45:00,834.58,837.84,834.36,837.26,18120,211641
2025-09-09 13:45:00,837.26,839.34,835.08,838.52,9447,211657
2025-09-09 14:45:00,838.52,839.3,833.58,837.64,35392,210371
2025-09-09 15:00:00,837.72,837.82,836.26,837.1,6,210551
2025-09-09 22:00:00,836.8,841.32,835.96,840.98,27984,212329
2025-09-09 23:00:00,841.0,843.34,833.6,835.46,22342,210440
2025-09-10 00:00:00,835.46,835.92,831.26,835.66,2086,209934
2025-09-10 01:00:00,835.66,836.12,835.14,835.48,5869,209359
2025-09-10 02:00:00,835.48,835.8,834.36,834.86,1114,209272
2025-09-10 09:30:00,834.88,835.46,830.02,830.12,17689,208409
2025-09-10 10:45:00,830.16,834.08,830.14,833.84,237,208214
2025-09-10 13:45:00,833.84,836.02,833.26,835.3,245,209042
2025-09-10 14:45:00,835.3,836.28,834.9,835.56,901,210288
2025-09-10 15:00:00,835.5,836.18,835.24,836.06,99,210656
2025-09-10 22:00:00,835.98,838.72,835.88,838.14,19716,213501
2025-09-10 23:00:00,838.14,839.34,836.4,837.14,7692,213687
2025-09-11 00:00:00,837.14,837.26,835.58,836.58,7964,213577
2025-09-11 01:00:00,836.58,836.92,835.78,836.38,2828,213563
2025-09-11 02:00:00,836.48,837.48,836.36,837.4,226,213561
2025-09-11 09:30:00,837.4,837.94,836.6,837.68,6581,214062
2025-09-11 10:45:00,837.68,837.88,835.2,835.38,270,214229
2025-09-11 13:45:00,835.38,836.06,831.46,832.44,160,212292
2025-09-11 14:45:00,832.44,833.74,830.86,833.7,6,210625
2025-09-11 15:00:00,833.68,834.12,832.72,832.84,1067,210404
2025-09-11 22:00:00,832.3,833.72,829.02,831.36,32700,210812
