hour,xyz_close,shfe_close,shfe_usd_oz,spread,spread_ratio,spread_mean,spread_std,zscore
2025-12-30 10:00:00,4386.8,983.22,4400.227808633093,-13.427808633093264,-0.3051616692833124,,,
2025-12-30 13:00:00,4387.8,986.18,4413.4747669064745,-25.67476690647436,-0.5817358943341259,,,
2025-12-30 14:00:00,4366.0,983.74,4402.5549769784175,-36.55497697841747,-0.8303127881325416,,,
2025-12-30 15:00:00,4370.5,984.84,4407.477833093525,-36.97783309352508,-0.8389794457019659,,,
2025-12-30 22:00:00,4347.2,989.92,4430.212477697842,-83.01247769784186,-1.8737809555576725,,,
2025-12-30 23:00:00,4337.3,985.94,4412.400689208634,-75.10068920863341,-1.7020369295179028,,,
2025-12-31 00:00:00,4341.2,985.94,4412.400689208634,-71.20068920863378,-1.6136496710910373,,,
2025-12-31 01:00:00,4368.3,988.2,4422.514920863309,-54.21492086330909,-1.2258844081576534,,,
2025-12-31 02:00:00,4349.9,986.76,4416.070454676259,-66.1704546762594,-1.4984012450750253,,,
2025-12-31 09:00:00,4330.7,983.04,4399.422250359712,-68.72225035971223,-1.5620744372535114,,,
2025-12-31 10:00:00,4310.0,984.22,4404.7031323741,-94.70313237410028,-2.1500457471933196,,,
2025-12-31 13:00:00,4342.3,972.6,4352.699870503597,-10.399870503596503,-0.2389291890780713,,,
2025-12-31 14:00:00,4345.6,973.58,4357.085687769784,-11.485687769783908,-0.26360940759149876,,,
2025-12-31 15:00:00,4333.1,977.56,4374.897476258992,-41.79747625899199,-0.9553932746038503,,,
2026-01-05 09:00:00,4435.3,989.82,4429.764945323742,5.535054676258369,0.12495143070969082,,,
2026-01-05 10:00:00,4436.9,990.78,4434.061256115107,2.83874388489221,0.0640213050953511,,,
2026-01-05 13:00:00,4414.6,991.18,4435.8513856115105,-21.25138561151016,-0.4790824525916916,,,
2026-01-05 14:00:00,4441.3,994.86,4452.320576978417,-11.020576978417012,-0.24752433675600613,,,
2026-01-05 15:00:00,4449.1,995.0,4452.947122302158,-3.8471223021579135,-0.08639496936511935,,,
2026-01-05 22:00:00,4448.5,995.94,4457.153926618706,-8.653926618705555,-0.19415812783631217,,,
2026-01-05 23:00:00,4441.7,1000.5,4477.561402877697,-35.8614028776974,-0.8009137039337871,,,
2026-01-06 00:00:00,4437.8,1002.66,4487.228102158273,-49.42810215827285,-1.1015286282081105,,,
2026-01-06 01:00:00,4449.9,1001.34,4481.320674820144,-31.420674820144086,-0.7011476549020931,,,
2026-01-06 02:00:00,4458.8,1002.2,4485.16945323741,-26.369453237410198,-0.5879254621779483,-0.8187374026057298,0.6476255319321284,0.35639722192418255
2026-01-06 09:00:00,4452.1,999.88,4474.786702158273,-22.686702158272965,-0.5069895766725763,-0.8271468987469491,0.6419522697666442,0.4987244958114302
2026-01-06 10:00:00,4452.7,1002.88,4488.212673381295,-35.51267338129492,-0.7912431064578019,-0.8358763659187689,0.6398911632331774,0.0697513296408854
2026-01-06 13:00:00,4468.5,1004.92,4497.34233381295,-28.84233381294962,-0.6413195098825495,-0.8280016459916859,0.6411243271454928,0.29117930517519097
2026-01-06 14:00:00,4492.3,1004.84,4496.984307913669,-4.6843079136688175,-0.10416553834589776,-0.7973843998518498,0.6579034383391629,1.0536787332438036
2026-01-06 15:00:00,4482.8,1004.98,4497.61085323741,-14.810853237409901,-0.3293049069985446,-0.7330312311618861,0.6226285941879012,0.6484223948788034
2026-01-06 22:00:00,4508.2,1005.76,4501.101605755395,7.098394244604606,0.15770348830890968,-0.6555420470857689,0.6124311125187791,1.3278971606292158
2026-01-06 23:00:00,4506.8,1008.84,4514.885602877697,-8.085602877697056,-0.1790876577812615,-0.5957686298645283,0.5842104611287436,0.7132377795464397
2026-01-07 00:00:00,4495.3,1007.3,4507.993604316546,-12.693604316546043,-0.2815799096163649,-0.5564226090919745,0.5715903397723252,0.48083860127007116
2026-01-07 01:00:00,4477.7,1009.24,4516.6757323741,-38.97573237410052,-0.8629296120315837,-0.5299446243818312,0.5398974807676574,-0.6167559574019408
2026-01-07 02:00:00,4487.4,1009.5,4517.839316546762,-30.43931654676271,-0.6737582816475461,-0.49293145123158255,0.49461292207495355,-0.36559261261791526
2026-01-07 09:00:00,4476.5,1006.98,4506.561500719425,-30.061500719424657,-0.667060700594581,-0.43114040762330186,0.350119401598394,-0.6738281051956456
2026-01-07 10:00:00,4477.0,1006.6,4504.860877697842,-27.860877697841715,-0.6184625553204587,-0.4469542978834013,0.34963118637132296,-0.4905405013124557
2026-01-07 13:00:00,4453.0,1001.5,4482.036726618705,-29.03672661870496,-0.6478466909085452,-0.4629641846882782,0.34966791938524433,-0.5287373990308041
2026-01-07 14:00:00,4453.0,999.44,4472.81755971223,-19.817559712229922,-0.4430665782287113,-0.44161723900598077,0.3335662983754935,-0.004344980982158569
2026-01-07 15:00:00,4448.0,998.9,4470.400884892087,-22.40088489208665,-0.5010934247036191,-0.46770244131486866,0.31105261591319944,-0.10734834455810621
2026-01-07 22:00:00,4471.2,1002.58,4486.870076258993,-15.670076258993504,-0.34924292419134867,-0.48492178420181453,0.29113885549845386,0.4660280050155875
2026-01-07 23:00:00,4471.8,1000.98,4479.709558273381,-7.909558273380753,-0.17656408681167585,-0.4723168522943138,0.2978735733791677,0.9928801743891857
2026-01-08 00:00:00,4455.1,1000.2,4476.218805755396,-21.118805755395442,-0.47180012130420157,-0.4816616766504887,0.29400769626583056,0.03354182720907649
2026-01-08 01:00:00,4450.4,1004.08,4493.583061870504,-43.18306187050439,-0.9609939612984244,-0.5181033013143764,0.29707149971473956,-1.4908554351707588
2026-01-08 02:00:00,4441.7,1001.86,4483.647843165468,-41.94784316546793,-0.9355739931584957,-0.5489956290361341,0.30045047250992196,-1.2866625267483822
2026-01-08 09:00:00,4434.9,1002.94,4488.481192805756,-53.58119280575647,-1.1937488541032026,-0.565363760293193,0.32450867312030357,-1.9364200277539312
2026-01-08 10:00:00,4433.5,1000.06,4475.592260431655,-42.09226043165472,-0.9404846997298874,-0.5586535966066003,0.31444896854889887,-1.2142863908421753
