datetime,shfe_close,binance_close,binance_cny,spread,spread_rate
2026-01-16 23:45:00,1026.66,4595.4,1029.785651132509,-3.1256511325088923,-0.3035244401659171
2026-01-17 00:15:00,1034.74,4598.46,1030.4713681739997,4.268631826000274,0.4142407016668799
2026-01-17 00:30:00,1035.02,4596.82,1030.1038596942465,4.916140305753515,0.47724705227419645
2026-01-17 00:45:00,1035.76,4597.93,1030.3526001896894,5.407399810310608,0.5248106142804995
2026-01-17 01:00:00,1034.84,4597.96,1030.3593229057822,4.480677094217754,0.4348654876612859
2026-01-17 01:15:00,1034.64,4598.08,1030.3862137701544,4.253786229845673,0.41283415606670315
2026-01-17 01:30:00,1032.3,4597.98,1030.3638047165107,1.936195283489269,0.18791375188319862
2026-01-17 01:45:00,1032.58,4596.0,1029.92010545437,2.659894545629868,0.25826222165615476
2026-01-17 02:00:00,1032.76,4597.92,1030.350359284325,2.4096407156750956,0.23386614989379123
2026-01-17 02:15:00,1033.42,4599.0,1030.5923770636743,2.8276229363257244,0.2743687028213893
2026-01-17 02:30:00,1035.2,4597.5,1030.256241259022,4.943758740977955,0.47985719891747003
2026-01-19 00:00:00,1030.38,4667.35,1045.9089652289936,-15.528965228993457,-1.484733924772651
2026-01-19 09:15:00,1048.24,4669.22,1046.3280145321266,1.9119854678733645,0.18273289459121697
2026-01-19 09:30:00,1048.12,4671.46,1046.8299773337405,1.2900226662593468,0.12323134550894448
2026-01-19 09:45:00,1048.12,4670.05,1046.5140096773675,1.6059903226323513,0.1534609482320706
2026-01-19 10:00:00,1047.38,4671.0,1046.7268956869805,0.6531043130196394,0.06239491081300616
2026-01-19 10:15:00,1048.12,4669.0,1046.2787146141109,1.841285385889023,0.17598421531189487
2026-01-19 10:45:00,1047.02,4666.38,1045.691597408652,1.3284025913480946,0.12703579091962047
2026-01-19 11:00:00,1047.68,4667.56,1045.9560242416449,1.723975758355209,0.16482296754351144
2026-01-19 11:15:00,1049.46,4668.03,1046.061346793769,3.3986532062310744,0.32489998953198285
2026-01-19 11:30:00,1048.9,4665.76,1045.5526612760623,3.34733872393781,0.32015017970041737
2026-01-19 13:45:00,1048.66,4666.6,1045.7408973266674,2.9191026733326453,0.27914205906979833
2026-01-19 14:00:00,1049.56,4667.54,1045.951542430916,3.608457569083839,0.34499280537388505
2026-01-19 14:15:00,1049.36,4670.88,1046.7000048226084,2.6599951773914654,0.25413157209665566
2026-01-19 14:30:00,1049.68,4669.54,1046.3997235037857,3.2802764962143556,0.31348216389341277
2026-01-19 14:45:00,1050.26,4669.45,1046.3795553555065,3.8804446444935365,0.37084484541320756
2026-01-19 15:00:00,1051.8,4669.02,1046.2831964248396,5.516803575160338,0.527276323849156
2026-01-19 21:15:00,1049.84,4675.02,1047.6277396434486,2.212260356551269,0.21116855471049223
2026-01-19 21:30:00,1049.94,4677.53,1048.1902068898996,1.749793110100427,0.16693469358889199
2026-01-19 21:45:00,1049.32,4676.66,1047.9952481232015,1.324751876798473,0.1264081949961987
2026-01-19 22:00:00,1049.06,4676.32,1047.9190573408137,1.140942659186294,0.10887698350305183
2026-01-19 22:15:00,1048.72,4677.85,1048.261915861559,0.45808413844110873,0.0436993972126339
2026-01-19 22:30:00,1049.36,4677.2,1048.1162570128763,1.2437429871235963,0.11866460221390467
2026-01-19 22:45:00,1049.14,4677.43,1048.1677978362563,0.9722021637437592,0.09275253120260767
2026-01-19 23:00:00,1049.2,4672.18,1046.9913225199737,2.208677480026381,0.21095470731413304
2026-01-19 23:15:00,1049.58,4667.49,1045.9403379040943,3.639662095905578,0.3479798956027366
2026-01-19 23:30:00,1049.48,4667.7,1045.9873969167456,3.49260308325438,0.3339048915454926
2026-01-19 23:45:00,1050.02,4668.34,1046.130814860064,3.8891851399359894,0.3717685288198137
2026-01-20 00:00:00,1051.22,4668.99,1046.2764737087464,4.943526291253647,0.4724875704917919
2026-01-20 00:15:00,1051.08,4661.69,1044.6406127927723,6.439387207227583,0.6164212963166671
2026-01-20 00:30:00,1050.78,4664.58,1045.288234443069,5.491765556930886,0.5253828921031438
2026-01-20 00:45:00,1051.16,4664.05,1045.1694664587587,5.990533541241348,0.5731638488769158
2026-01-20 01:00:00,1051.22,4670.41,1046.5946822704839,4.625317729516155,0.4419397315761231
2026-01-20 01:15:00,1050.86,4671.26,1046.7851592264535,4.074840773546384,0.3892719282109028
2026-01-20 01:30:00,1051.04,4672.31,1047.0204542897102,4.019545710289776,0.3839032651006424
2026-01-20 01:45:00,1051.9,4669.0,1046.2787146141109,5.621285385889223,0.5372646224541106
2026-01-20 02:00:00,1052.2,4667.01,1045.8327744466058,6.367225553394292,0.6088187049562928
2026-01-20 02:15:00,1052.04,4672.3,1047.018213384346,5.021786615654037,0.47962743641505384
2026-01-20 02:30:00,1053.46,4673.47,1047.2803993119746,6.179600688025403,0.5900617152851496
2026-01-20 09:15:00,1051.18,4734.8,1061.0238719115212,-9.843871911521092,-0.927771011766828
2026-01-20 09:30:00,1051.14,4737.61,1061.653566318903,-10.513566318902804,-0.9903010409842776
2026-01-20 09:45:00,1051.16,4736.75,1061.460848457569,-10.300848457568918,-0.9704407348172376
2026-01-20 10:00:00,1050.36,4734.0,1060.8445994823733,-10.484599482373369,-0.988325668763286
2026-01-20 10:15:00,1049.68,4731.79,1060.3493593968524,-10.669359396852315,-1.0062117077074726
2026-01-20 10:45:00,1051.12,4729.16,1059.760001286029,-8.640001286029019,-0.8152790514403538
2026-01-20 11:00:00,1049.98,4729.22,1059.773446718215,-9.79344671821491,-0.9241075768167369
2026-01-20 11:15:00,1050.36,4731.1,1060.1947369267125,-9.834736926712594,-0.927634950841341
2026-01-20 11:30:00,1050.76,4734.7,1061.0014628578776,-10.24146285787765,-0.9652637829821265
2026-01-20 13:45:00,1057.9,4739.05,1061.9762566913691,-4.076256691369053,-0.38383689519281716
2026-01-20 14:00:00,1060.34,4744.46,1063.1885864934814,-2.8485864934814344,-0.2679286186542315
2026-01-20 14:15:00,1059.82,4753.97,1065.3196874949763,-5.499687494976342,-0.5162476165167348
2026-01-20 14:30:00,1060.02,4740.89,1062.3885832784092,-2.3685832784092327,-0.22294886406817896
2026-01-20 14:45:00,1059.76,4744.18,1063.1258411432798,-3.365841143279795,-0.31659856369027656
2026-01-20 15:00:00,1060.16,4747.55,1063.881026251065,-3.7210262510648136,-0.3497596215412427
2026-01-20 21:15:00,1061.88,4757.07,1066.014368157924,-4.134368157923973,-0.3878341869883211
