date,shfe_close,binance_close,binance_cny,spread,spread_rate
2025-12-11,957.9,4271.2,957.135499220345,0.764500779655009,0.07987382980547157
2025-12-12,970.66,4303.3,964.3288054399022,6.331194560097742,0.6565389859125501
2025-12-15,983.16,4310.49,965.9400163968685,17.21998360313148,1.7827176958011477
2025-12-16,971.42,4284.0,960.0038580867105,11.416141913289493,1.1891766701898352
2025-12-17,979.72,4330.82,970.4957770025879,9.224222997412085,0.9504650319964749
2025-12-18,980.5,4328.99,970.0856913209124,10.41430867908764,1.0735452313400322
2025-12-19,979.9,4337.04,971.8896201392126,8.010379860787339,0.8242067509312364
2025-12-22,1000.86,4464.33,1000.4141045219991,0.4458954780009208,0.044571090709878684
2025-12-23,1014.24,4514.46,1011.6477631134759,2.5922368865241197,0.2562390765879003
2025-12-24,1014.68,4475.3,1002.872377706689,11.807622293310942,1.17738034826644
2025-12-25,1008.76,4499.8,1008.3625958493417,0.3974041506583035,0.03941083815426244
2025-12-26,1016.3,4531.11,1015.3788705451153,0.9211294548846354,0.09071780806213928
2025-12-29,1007.18,4351.72,975.1792692140756,32.00073078592436,3.281522874426427
2025-12-30,984.84,4340.17,972.5910235182536,12.248976481746467,1.2594169785196028
2025-12-31,977.56,4324.29,969.0324657996688,8.52753420033116,0.8800050051258123
2026-01-05,995.0,4437.77,994.4622598742907,0.5377401257093197,0.054073457325298106
2026-01-06,1004.98,4492.26,1006.6729532046234,-1.6929532046233362,-0.16817310917453593
2026-01-07,998.9,4465.97,1000.7816130017522,-1.881613001752271,-0.18801434571809789
2026-01-08,997.94,4474.33,1002.6550098863471,-4.7150098863470475,-0.47025246369451673
2026-01-09,1006.48,4500.62,1008.5463500892181,-2.0663500892180764,-0.20488399854258388
2026-01-12,1026.28,4600.86,1031.0091854614432,-4.729185461443194,-0.4586947942007498
2026-01-13,1030.44,4601.74,1031.2063851335058,-0.7663851335057643,-0.07431927735848375
2026-01-14,1043.58,4619.36,1035.1548603854872,8.425139614512773,0.8139013723391385
2026-01-15,1037.96,4613.95,1033.9425305833747,4.0174694166253175,0.38855829002010067
2026-01-16,1035.5,4595.4,1029.785651132509,5.714348867491026,0.5549066314146694
2026-01-19,1051.8,4668.34,1046.130814860064,5.669185139935962,0.5419193335485776
2026-01-20,1060.16,4778.92,1070.9107463790247,-10.750746379024577,-1.0038881779247355
2026-01-21,1092.3,4778.28,1070.7673284357065,21.532671564293423,2.010957095202998
2026-01-22,1087.58,4956.35,1110.6711302586525,-23.091130258652584,-2.0790249813439496
2026-01-23,1115.64,4989.88,1118.1848859453116,-2.5448859453115347,-0.22759080160165931
2026-01-26,1143.32,5039.15,1129.2258266754543,14.094173324545636,1.2481270788890997
2026-01-27,1148.38,5088.6,1140.3071037021557,8.072896297844409,0.7079580817864503
