datetime,open,high,low,close,volume,hold
2025-07-23 14:15:00,79670.0,79800.0,79510.0,79540.0,9228,171819
2025-07-23 15:00:00,79540.0,79640.0,79520.0,79590.0,21,172892
2025-07-23 22:00:00,79890.0,80020.0,79810.0,79880.0,20001,175638
2025-07-23 23:00:00,79880.0,79970.0,79730.0,79760.0,2259,175568
2025-07-24 00:00:00,79760.0,79890.0,79730.0,79830.0,3084,175814
2025-07-24 01:00:00,79830.0,79850.0,79660.0,79680.0,2074,175882
2025-07-24 10:00:00,79800.0,79860.0,79680.0,79720.0,9082,175841
2025-07-24 11:15:00,79720.0,79840.0,79680.0,79740.0,1491,177343
2025-07-24 14:15:00,79740.0,79930.0,79670.0,79800.0,12627,179050
2025-07-24 15:00:00,79800.0,80010.0,79790.0,79890.0,4726,181496
2025-07-24 22:00:00,79520.0,79550.0,79180.0,79380.0,24800,177851
2025-07-24 23:00:00,79380.0,79550.0,79320.0,79410.0,2873,178207
2025-07-25 00:00:00,79410.0,79460.0,79260.0,79270.0,5049,177781
2025-07-25 01:00:00,79270.0,79350.0,79260.0,79290.0,120,177575
2025-07-25 10:00:00,79360.0,79470.0,79260.0,79400.0,10678,178899
2025-07-25 11:15:00,79390.0,79510.0,79200.0,79250.0,5614,180220
2025-07-25 14:15:00,79250.0,79270.0,79150.0,79220.0,14548,181008
2025-07-25 15:00:00,79220.0,79290.0,79190.0,79250.0,17,180814
2025-07-25 22:00:00,79180.0,79280.0,79050.0,79260.0,11596,178971
2025-07-25 23:00:00,79260.0,79300.0,78940.0,79000.0,5330,178028
2025-07-26 01:00:00,78770.0,78870.0,78750.0,78800.0,1383,177599
2025-07-26 10:00:00,78800.0,78800.0,78800.0,78800.0,0,177599
2025-07-28 00:00:00,79000.0,79010.0,78730.0,78840.0,12552,177775
2025-07-28 10:00:00,78890.0,79000.0,78850.0,78940.0,13182,176811
2025-07-28 11:15:00,78940.0,79110.0,78930.0,79040.0,3482,176647
2025-07-28 14:15:00,79040.0,79050.0,78840.0,78950.0,11468,176232
2025-07-28 15:00:00,78950.0,79050.0,78900.0,79000.0,3221,176073
2025-07-28 22:00:00,79130.0,79240.0,78920.0,78950.0,13781,174253
2025-07-28 23:00:00,78950.0,79210.0,78810.0,79090.0,2678,175499
2025-07-29 00:00:00,79090.0,79120.0,79020.0,79040.0,2805,175184
2025-07-29 01:00:00,79030.0,79090.0,78980.0,79010.0,1534,174958
2025-07-29 10:00:00,78960.0,79010.0,78870.0,78890.0,5908,174726
2025-07-29 11:15:00,78890.0,79000.0,78860.0,78960.0,7004,175137
2025-07-29 14:15:00,78960.0,79020.0,78850.0,78890.0,6466,174354
2025-07-29 15:00:00,78890.0,78920.0,78820.0,78840.0,247,173684
2025-07-29 22:00:00,78910.0,79230.0,78870.0,79110.0,13709,172778
2025-07-29 23:00:00,79110.0,79220.0,79050.0,79160.0,852,172601
2025-07-30 00:00:00,79160.0,79180.0,79070.0,79130.0,2181,172446
2025-07-30 01:00:00,79130.0,79140.0,79070.0,79090.0,1210,172310
2025-07-30 10:00:00,79130.0,79180.0,79030.0,79100.0,4847,171885
2025-07-30 11:15:00,79110.0,79240.0,79080.0,79100.0,7750,171726
2025-07-30 14:15:00,79090.0,79120.0,78880.0,78910.0,480,171615
