hour,xyz_usd_per_ton,xyz_close,shfe_usd_per_ton,shfe_close,spread,spread_ratio,spread_mean,spread_std,zscore
2026-01-16 01:00:00,13271.8124,6.02,14187.586206896553,102860.0,-915.7738068965537,-6.454754131829688,-6.598152252505891,0.4862781572539993,0.2948890846464673
2026-01-16 10:00:00,13088.82894,5.937,14161.379310344828,102670.0,-1072.5503703448285,-7.573770512321032,-6.686844821579993,0.5471287704907523,-1.6210547472133534
2026-01-16 11:00:00,13084.4197,5.935,14028.96551724138,101710.0,-944.54581724138,-6.732825852915159,-6.690676574191258,0.5218356570183045,-0.08077117413696126
2026-01-16 14:00:00,12954.34712,5.876,13924.137931034482,100950.0,-969.7908110344816,-6.964817612679541,-6.711764346382664,0.5053719148235005,-0.5007268090575523
2026-01-16 15:00:00,12963.386061999998,5.8801,13899.310344827589,100770.0,-935.9242828275892,-6.733602312692288,-6.7133242011190655,0.48558070708615847,-0.04176053800594033
2026-01-16 22:00:00,12852.493675999998,5.8298,13833.103448275862,100290.0,-980.609772275864,-7.088863145876967,-6.738360130769593,0.47785828986170176,-0.7334873592102268
2026-01-16 23:00:00,12808.8422,5.81,13809.655172413792,100120.0,-1000.8129724137945,-7.247197413104278,-6.77016246091551,0.47886064787883686,-0.9961874175751204
2026-01-17 01:00:00,12872.77618,5.839,13831.724137931034,100280.0,-958.9479579310336,-6.932960405863575,-6.779738810618338,0.4653330099329189,-0.32927299799196574
2026-01-19 00:00:00,12939.796627999998,5.8694,13784.827586206897,99940.0,-845.0309582068985,-6.1301525385231255,-6.7436506843908255,0.47669677966577245,1.2869777435833392
2026-01-19 10:00:00,13017.178789999998,5.9045,13944.827586206897,101100.0,-927.6487962068986,-6.652278706726033,-6.738841632934784,0.4637400110576418,0.1866626216084506
2026-01-19 11:00:00,13023.79265,5.9075,14002.758620689656,101520.0,-978.9659706896564,-6.991236492809305,-6.75146137592851,0.4548860105003679,-0.5271103338989178
2026-01-19 14:00:00,13016.517404,5.9042,13980.689655172411,101360.0,-964.1722511724128,-6.8964570057221675,-6.758365929728208,0.44449561139354926,-0.31066915500251396
2026-01-19 15:00:00,12919.0732,5.86,13955.862068965518,101180.0,-1036.7888689655174,-7.429056434077886,-6.788851861744103,0.45674344671546696,-1.4016721573951882
2026-01-19 22:00:00,13040.768223999998,5.9152,13932.413793103447,101010.0,-891.6455691034498,-6.399792472032484,-6.771936236104467,0.45355625712016884,0.8205018853336735
2026-01-19 23:00:00,13020.265258,5.9059,14023.448275862069,101670.0,-1003.1830178620694,-7.1536115663420885,-6.787839374864368,0.4503765741348322,-0.8121474616666384
