hour,xyz_usd_per_ton,xyz_close,shfe_usd_per_ton,shfe_close,spread,spread_ratio
2026-01-15 00:00:00,13293.8586,6.03,14333.793103448275,103920.0,-1039.9345034482758,-7.255124278290992
2026-01-15 01:00:00,13359.997199999998,6.06,14297.931034482759,103660.0,-937.9338344827611,-6.559926972795694
2026-01-15 10:00:00,13222.649373999999,5.9977,14191.724137931034,102890.0,-969.0747639310357,-6.828449838176698
2026-01-15 11:00:00,13100.733887999999,5.9424,14151.724137931034,102600.0,-1050.9902499310356,-7.4265880233918224
2026-01-15 14:00:00,13260.127914,6.0147,14117.241379310344,102350.0,-857.1134653103436,-6.071394844650701
2026-01-15 15:00:00,13227.72,6.0,14180.689655172413,102810.0,-952.9696551724137,-6.720192588269624
2026-01-15 22:00:00,13205.6738,5.99,14024.827586206897,101680.0,-819.1537862068963,-5.840740509441378
2026-01-15 23:00:00,13192.44608,5.984,14096.551724137931,102200.0,-904.1056441379314,-6.413665283757341
2026-01-16 00:00:00,13227.72,6.0,14133.793103448275,102470.0,-906.073103448276,-6.4106860544549615
2026-01-16 01:00:00,13271.812399999999,6.02,14187.586206896553,102860.0,-915.7738068965537,-6.454754131829688
2026-01-16 10:00:00,13088.82894,5.937,14161.379310344828,102670.0,-1072.5503703448285,-7.5737705123210315
2026-01-16 11:00:00,13084.419699999999,5.935,14028.965517241379,101710.0,-944.5458172413801,-6.732825852915159
2026-01-16 14:00:00,12954.34712,5.876,13924.137931034482,100950.0,-969.7908110344815,-6.964817612679541
2026-01-16 15:00:00,12963.386061999998,5.8801,13899.310344827587,100770.0,-935.9242828275892,-6.733602312692288
2026-01-16 22:00:00,12852.493675999998,5.8298,13833.103448275862,100290.0,-980.6097722758641,-7.088863145876967
2026-01-16 23:00:00,12808.8422,5.81,13809.655172413793,100120.0,-1000.8129724137943,-7.247197413104278
2026-01-17 01:00:00,12872.77618,5.839,13831.724137931034,100280.0,-958.9479579310337,-6.932960405863575
2026-01-19 00:00:00,12939.796627999998,5.8694,13784.827586206897,99940.0,-845.0309582068985,-6.1301525385231255
2026-01-19 10:00:00,13017.178789999998,5.9045,13944.827586206897,101100.0,-927.6487962068986,-6.652278706726033
2026-01-19 11:00:00,13023.79265,5.9075,14002.758620689656,101520.0,-978.9659706896564,-6.991236492809305
2026-01-19 14:00:00,13016.517404,5.9042,13980.689655172413,101360.0,-964.1722511724129,-6.8964570057221675
2026-01-19 15:00:00,12919.0732,5.86,13955.862068965518,101180.0,-1036.7888689655174,-7.429056434077886
2026-01-19 22:00:00,13040.768223999998,5.9152,13932.413793103447,101010.0,-891.6455691034498,-6.399792472032484
2026-01-19 23:00:00,13020.265258,5.9059,14023.448275862069,101670.0,-1003.1830178620694,-7.1536115663420885
2026-01-20 00:00:00,13028.422352,5.9096,14012.413793103447,101590.0,-983.9914411034479,-7.022283638153359
2026-01-20 01:00:00,13030.406509999999,5.9105,14019.310344827587,101640.0,-988.9038348275881,-7.053869345238106
2026-01-20 10:00:00,12922.38013,5.8615,13925.51724137931,100960.0,-1003.1371113793102,-7.20358959736529
2026-01-20 11:00:00,12948.83557,5.8735,13915.862068965518,100890.0,-967.0264989655188,-6.94909517048271
2026-01-20 14:00:00,12951.04019,5.8745,13986.206896551725,101400.0,-1035.166706551725,-7.401339864398427
2026-01-20 15:00:00,13007.258,5.9,13962.758620689656,101230.0,-955.500620689656,-6.84320804109454
2026-01-20 22:00:00,12775.552438,5.7949,13830.344827586207,100270.0,-1054.792389586206,-7.626652861773209
2026-01-20 23:00:00,12741.160366,5.7793,13809.655172413793,100120.0,-1068.4948064137934,-7.737302583399918
2026-01-21 00:00:00,12768.277192,5.7916,13762.758620689656,99780.0,-994.4814286896562,-7.225887310082191
2026-01-21 01:00:00,12821.188071999999,5.8156,13783.448275862069,99930.0,-962.2602038620698,-6.981273369358554
2026-01-21 10:00:00,12883.137894,5.8437,13828.965517241379,100260.0,-945.8276232413791,-6.839467652603226
2026-01-21 11:00:00,12890.192678,5.8469,13859.310344827587,100480.0,-969.1176668275875,-6.992538897790612
2026-01-21 14:00:00,12966.692991999998,5.8816,13979.310344827587,101350.0,-1012.6173528275885,-7.2436860463739645
2026-01-21 15:00:00,12983.448104,5.8892,13969.655172413793,101280.0,-986.2070684137943,-7.05963788112165
2026-01-21 22:00:00,12877.18542,5.841,13966.896551724138,101260.0,-1089.7111317241379,-7.802099254394623
2026-01-21 23:00:00,12871.012483999999,5.8382,13914.48275862069,100880.0,-1043.4702746206913,-7.4991668229579815
2026-01-22 00:00:00,12785.69369,5.7995,13902.068965517241,100790.0,-1116.3752755172409,-8.030281523464621
2026-01-22 01:00:00,12744.90822,5.781,13848.275862068966,100400.0,-1103.3676420689662,-7.967545224103589
2026-01-22 10:00:00,12773.347817999998,5.7939,13880.0,100630.0,-1106.6521820000016,-7.972998429394829
2026-01-22 11:00:00,12814.133287999999,5.8124,13888.275862068966,100690.0,-1074.1425740689665,-7.734167903466094
2026-01-22 14:00:00,12817.219755999999,5.8138,13882.758620689656,100650.0,-1065.5388646896572,-7.675267530054663
2026-01-22 15:00:00,12713.382153999999,5.7667,13889.655172413793,100700.0,-1176.2730184137945,-8.468698494041716
2026-01-22 22:00:00,12651.652793999998,5.7387,13813.793103448275,100150.0,-1162.1403094482775,-8.412897896655025
2026-01-22 23:00:00,12678.769620000001,5.751,13773.793103448275,99860.0,-1095.0234834482744,-7.950050325455626
2026-01-23 00:00:00,12737.632974,5.7777,13777.931034482759,99890.0,-1040.298060482759,-7.55046645159676
2026-01-23 01:00:00,12762.324718,5.7889,13830.344827586207,100270.0,-1068.0201095862067,-7.72229559638975
2026-01-23 10:00:00,12878.508192,5.8416,13982.068965517241,101370.0,-1103.5607735172416,-7.892685812370526
